DUNGEON #,DUNGEON NAME,Difficulty,CHARACTER,Date,Duration,DEATHS,Kills,Result,Run Type,Instance ID,Dungeon Report Link,PRE_FLAWLESS
,Spire of the Watcher,Normal,Warlock,"May 31, 2026",1:41:27,5,1157,Solo,Unknown,16856671552,https://dungeon.report/pgcr/16856671552,Pre-Flawless
,Spire of the Watcher,Normal,Warlock,"May 29, 2026",48:06:00,2,456,DNF,—,16855100831,https://dungeon.report/pgcr/16855100831,Pre-Flawless
,Spire of the Watcher,Normal,Titan,"May 28, 2026",1:46:33,2,938,Solo,Unknown,16854026806,https://dungeon.report/pgcr/16854026806,Pre-Flawless
,Spire of the Watcher,Normal,Titan,"May 25, 2026",37:59:00,2,359,Solo,Unknown,16851148464,https://dungeon.report/pgcr/16851148464,Pre-Flawless
,Spire of the Watcher,Normal,Titan,"May 25, 2026",1:55:00,8,881,DNF,—,16850917980,https://dungeon.report/pgcr/16850917980,Pre-Flawless
,Spire of the Watcher,Normal,Titan,"May 24, 2026",1:19:31,14,568,Solo,Unknown,16849946384,https://dungeon.report/pgcr/16849946384,Pre-Flawless
,Spire of the Watcher,Normal,Titan,"May 24, 2026",1:27:29,4,912,DNF,—,16849744092,https://dungeon.report/pgcr/16849744092,Pre-Flawless
,Spire of the Watcher,Normal,Titan,"May 22, 2026",45:29:00,2,379,DNF,—,16848057680,https://dungeon.report/pgcr/16848057680,Pre-Flawless
,Spire of the Watcher,Normal,Titan,"May 22, 2026",1:10:29,7,371,DNF,—,16848029617,https://dungeon.report/pgcr/16848029617,Pre-Flawless
,Spire of the Watcher,Normal,Titan,"May 18, 2026",22:52,1,148,DNF,—,16845465400,https://dungeon.report/pgcr/16845465400,Pre-Flawless
,Warlord's Ruin,Normal,Hunter,"May 17, 2026",1:21:12,0,961,Solo Flawless,Unknown,16844816565,https://dungeon.report/pgcr/16844816565,Pre-Flawless
,Warlord's Ruin,Normal,Hunter,"May 17, 2026",1:01:47,1,764,DNF,—,16844585610,https://dungeon.report/pgcr/16844585610,Pre-Flawless
,Warlord's Ruin,Normal,Hunter,"May 17, 2026",6:31,1,58,DNF,—,16844542654,https://dungeon.report/pgcr/16844542654,Pre-Flawless
,Warlord's Ruin,Normal,Hunter,"May 17, 2026",51:06:00,1,712,DNF,—,16844538622,https://dungeon.report/pgcr/16844538622,Pre-Flawless
